COUNTSTATIONID,COUNTDATE,COUNTDIR,HOUR0,HOUR1,HOUR2,HOUR3,HOUR4,HOUR5,HOUR6,HOUR7,HOUR8,HOUR9,HOUR10,HOUR11,HOUR12,HOUR13,HOUR14,HOUR15,HOUR16,HOUR17,HOUR18,HOUR19,HOUR20,HOUR21,HOUR22,HOUR23,FormattedDate
501,20240303,S,2251,1898,1675,799,601,872,1718,2610,3708,5517,6928,8040,8328,8184,8164,8298,8095,8021,6844,5491,4579,3788,2753,2177,3/3/2024
501,20240304,P,837,534,450,632,1272,3895,7519,8503,7864,7424,7284,7148,7267,7379,6768,5840,5261,6230,7027,4766,3676,2710,1949,1018,3/4/2024
501,20240304,S,2290,764,571,613,1141,3898,7664,8601,8142,7484,7401,7777,7863,8023,8779,8647,8606,8298,7159,5173,4156,4697,3340,1423,3/4/2024
501,20240305,P,620,491,400,592,1282,4091,7927,8332,6782,7981,7537,7470,7254,6688,6401,5666,4758,5037,6873,5422,3947,3303,2287,1243,3/5/2024
501,20240305,S,850,525,500,503,1226,3857,8158,8631,7881,7647,7550,7743,8067,8244,8931,8944,8676,8540,7715,5418,4483,3786,4063,2389,3/5/2024
501,20240306,P,724,544,384,590,1344,4124,7997,8258,8110,7854,7112,7409,7240,7336,6257,5110,4858,5344,6920,4834,3525,3535,2443,1324,3/6/2024
501,20240306,S,922,564,534,546,1232,4003,7707,8654,8219,7739,7646,8075,8400,8383,8618,8808,8355,8507,7979,6238,5082,4279,4430,2787,3/6/2024
501,20240307,P,707,562,416,620,1282,3962,7522,5734,8103,7502,7962,7667,7210,6657,5712,4721,4119,4870,6908,6287,4270,3681,2484,1380,3/7/2024
501,20240307,S,1015,632,591,616,1236,3867,8293,8457,8550,8100,7634,8166,8196,8420,8691,8612,8367,8202,7861,6342,5029,4689,4853,3287,3/7/2024
501,20240308,P,786,585,540,621,1166,3577,6270,6202,6590,6576,7068,6809,6947,7088,6416,6073,6257,6963,7757,6098,4801,4190,3529,2763,3/8/2024
501,20240308,S,1189,880,718,626,1091,2897,6471,7423,7412,7152,7237,7806,8273,8285,8642,8680,8705,7652,6218,6945,5588,5672,6499,3138,3/8/2024
501,20240309,P,1349,1037,763,603,749,2341,3139,4233,5712,6851,7007,6788,6944,6278,4333,5766,6827,7646,7252,2409,1912,3549,4307,3592,3/9/2024
501,20240309,S,2011,1578,1262,681,747,1232,2553,4222,5734,7288,7928,8066,8514,8442,8472,8271,8351,8318,7872,7301,6287,7037,5580,3721,3/9/2024
501,20240311,P,753,564,480,638,1323,3843,7091,7013,7982,7412,6736,6647,6829,6638,6082,4699,4113,5674,4957,5177,4169,3049,2161,1123,3/11/2024
501,20240311,S,1149,696,537,566,1178,3821,7505,8566,8341,7681,7825,7904,8210,8323,8668,8613,7442,7964,7009,5715,4546,5210,2912,1557,3/11/2024
501,20240312,P,682,473,423,617,1285,4117,7376,7174,7822,7388,7384,7517,7240,6953,5996,4657,4093,3919,6128,5907,4814,3691,2498,1345,3/12/2024
