DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/19/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,51,2,Moderate
2/19/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,31,1,Good
2/19/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,30,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/20/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,45,1,Good
2/20/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,44,1,Good
2/20/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,37,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/21/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,54,2,Moderate
2/21/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,45,1,Good
2/21/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,25,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/22/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,46,1,Good
2/22/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,32,1,Good
2/22/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,13,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/23/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,54,2,Moderate
2/23/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,30,1,Good
2/23/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,17,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/24/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,50,1,Good
2/24/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM2.5,28,1,Good
2/24/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,PM10,19,1,Good
DateObserved,HourObserved,LocalTimeZone,ReportingArea,StateCode,Latitude,Longitude,ParameterName,AQI,CategoryNumber,CategoryName
2/25/2024,0,MST,Denver-Boulder,CO,39.9003,-105.042,OZONE,58,2,Moderate
